college_name,website,admissions,courses,placements,fees,contact,courses_list,fees_list,rankings,cutoffs,course_details,status,error
Unknown,https://afmc.nic.in,,,,,,,,,,,failed,All URL candidates failed for https://afmc.nic.in
CHRIST (Deemed to be University),https://christuniversity.in,https://christuniversity.in/admission-home,https://christuniversity.in/our-programmes/UGP/1,https://christuniversity.in/center/C/CPCG,https://christuniversity.in/e-services-online-payment-portal,,MBA | PhD | be,rs,"cation Form Pay Application Fee 3 | cations Open 1 | mately take 8 | mation Apply Online/Status Step-by-Step Guide to Apply Online MBA Admissions – 2026 | nataka, India Tel: +91",,"MBA Admissions – 2026: rankings=cations Open 1 | cation Form Pay Application Fee 3 | mation Apply Online/Status Step-by-Step Guide to Apply Online MBA Admissions – 2026 | nataka, India Tel: +91
Our Campuses Centre for Placement and Career Guidance Sidebar × Overview The Centre for Placements and Career Guidance ( CPCG ) serves as a vital bridge between our esteemed students and the ever-evolving realm of professional opportunities. By spearheading comprehensive career exploration initiatives, the CPCG empowers students to delve into diverse employment landscapes and discover fulfilling career paths aligned with their unique aspirations. Through personalized counseling sessions, dedicated advisors guide students in a journey of self-discovery, students delve deep, uncovering their inherent interests, aptitudes, and strengths, forming the bedrock for informed career choices. This individualized approach ensures each student embarks on a career journey crafted specifically for their potential. The Centre for Placements and Career Guidance ( CPCG ) serves as a vital bridge between our esteemed students and the ever-evolving realm of professional opportunities. By spearheading comprehensive career exploration initiatives, the CPCG empowers students to delve into diverse employment landscapes and discover fulfilling career paths aligned with their unique aspirations. Through personalized counseling sessions, dedicated advisors guide students in a journey of self-discovery, students delve deep, uncovering their inherent interests, aptitudes, and strengths, forming the bedrock for informed career choices. This individualized approach ensures each student embarks on a career journey crafted specifically for their potential. Furthermore, the CPCG champions the professional development of its students, equipping them with essential employability enhancement skills. Intensive training programs hone students' Resume writing, Interview techniques, and Group discussion strategies, instilling confidence and poise in their interactions with potential employers. A rigorous focus on logical reasoning and aptitude skills sharpens students' critical thinking and problem-solving abilities, ensuring they stand out in competitive job markets. This unwavering commitment to comprehensive preparation yields impressive results, with our students securing coveted positions in their desired fields and gaining admission to prestigious postgraduate and professional schools. Additionally, the university boasts state-of-the-art facilities that facilitate seamless campus recruitment drives, transforming the job search into a rewarding and enriching experience. In essence, CPCG serves as a powerful catalyst for student success. We unlock a world of possibilities, empowering our students to confidently navigate the professional landscape and realize their career aspirations. Functions Functions Identifying and facilitating professional training needs Leadership training for student representatives Networking with companies for Campus recruitment and training Preparing students for Campus Recruitment processes Facilitating smooth conduct of Campus Recruitment processes Processing feedback from Recruiters and informing Academic departments regarding gaps in employability skills Documenting post-placement feedback from students Sustaining Academia-Corporate interface for skilling, upskilling and reskilling Engaging Alumni for Career Guidance and Counselling Honors and Accreditation Placement Highlights Report : Top Recruiters Vision Nurturing Employable Graduates Mission To ensure every student is provided an opportunity for placement and to empower students with the knowledge skills and resources necessary to navigate their career path successfully Mission Objectives To create awareness among students about opportunities available as per their programme and competencies. To share and build required competencies among the students as per inputs from industry through respective departments. To identify and invite potential recruiters to the University for placements and to maintain and sustain relationship with the present and potential recruiters. To develop annual placement schedule and to be a single point of contact for the recruiters, academic departments and students for effective placement process. Build employability through skill development workshops. Organise networking events to broaden the placement base and forge strong Host guest lectures and mentoring sessions by Industry professionals Guide students toward higher education opportunities, entrepreneurship or niche careers Collaborate with Alumni for mentoring, networking and job opportunities Photo Gallery Inauguration of RECRUITHON 2024 - A PAN University Placement Drive: fees=rs
Our Campuses Programmes in All Campuses Our Programmes Under Graduate Post Graduate Doctoral(PhD) Online Degree All Programmes Programme Name Part-Time Full-Time Campus Open From Open Until Status Eligibility Fees Explore Details Campus Academics Admission Examination CHRIST (Deemed to be University) Dharmaram College Post, Hosur Road, Bengaluru - 560029, Karnataka, India Tel: +91 80 4012 9100 / 9600 Fax: +91 80 4012 9000 Email: mail@christuniversity.in Web: https://www.christuniversity.in Vision EXCELLENCE AND SERVICE Mission CHRIST (Deemed to be University) is a nurturing ground for an individual's holistic development to make effective contribution to the society in a dynamic environment. UBA FCRA Library Centres Research Admission Course Index Copyright © CHRIST (Deemed to be University) 2025: rankings=nataka, India Tel: +91
Our Campuses Sidebar Online Payment Portal Online Payment Instructions Detailed instructions are given in the login page of the web payment as to the procedure to be followed in case of completed transaction and payment confirmation slip received and also failed transaction. Pls follow the instruction carefully. Once “pay” - option is selected you will be directed for payment through net banking / credit card / debit card. You can choose the desired payment option and proceed. Once the payment is successful, you will get a payment confirmation slip and the payer has to keep the same for reference. In case the payment is not successful due to any reason you will get a display on the status of failure in payment. In case none of the above two happens, and there is heavy delay in any response from the system - if you have not proceeded with payment and not given card detail particulars, you may proceed from the beginning again and start the payment process again. In case you have given all the credit card / debit card details or net baking authorization for payment, and have not got any response, please check with your bankers or credit card company and see if your account is debited. If your bank account/cc is debited, please dont make any attempt to pay again. However, if your account is not debited in the bank, you have to make the payment and get payment successful confirmation. In any case, make a note of reference/transaction details in case of net banking or card payment. Privacy Policy The details provided by you shall be utilized only for the purpose of receiving the payments to be made by you to the institution. All data shall be kept secure, and shall not be divulged to anyone or utilized for any other purpose. Cancellation / Refund Policy There is no cancellation option available to end users once payment has been made. Additionally, refunds are not possible in such cases. In case of duplicate payment, payer/parent/student, kindly approach admin or finance or accounts department of the institution for refund with proof of the transaction reference/ your bank statement. Refund will be processed within 10-15 working days, respective payment gateway will send back to the issuing bank [user’s card banker] in batches for processing, which should approximately take 8-15 working days, depending on issuing banks policies. Important: by submitting a payment through the online-payments site you are agreeing to these terms and conditions including any updated changes in terms and conditions from time to time through our website. Disclaimer The articles, information and documents provided on this website are purely for information purpose and no legal commitment whatsoever are attached to the same in case of any inadvertent error that might have occurred due to unavoidable circumstances in spite of all the efforts put by the website management team. Click below link for the payment : CENTRAL CAMPUS BANNERGHATTA ROAD CAMPUS KENGERI CAMPUS YESHWANTHPUR CAMPUS CENTRE FOR SOCIAL ACTION RESEARCH Campus Academics Admission Examination CHRIST (Deemed to be University) Dharmaram College Post, Hosur Road, Bengaluru - 560029, Karnataka, India Tel: +91 80 4012 9100 / 9600 Fax: +91 80 4012 9000 Email: mail@christuniversity.in Web: https://www.christuniversity.in Vision EXCELLENCE AND SERVICE Mission CHRIST (Deemed to be University) is a nurturing ground for an individual's holistic development to make effective contribution to the society in a dynamic environment. UBA FCRA Library Centres Research Admission Course Index Copyright © CHRIST (Deemed to be University) 2025: fees=rs, rankings=mately take 8 | nataka, India Tel: +91
UG / PG / PhD Programmes and Interdisciplinary Masters Programme: Applications Open: rankings=cations Open 1 | cation Form Pay Application Fee 3 | mation Apply Online/Status Step-by-Step Guide to Apply Online MBA Admissions – 2026 | nataka, India Tel: +91
UG / PG / PhD Programmes and Interdisciplinary Masters Programme: rankings=cations Open 1 | cation Form Pay Application Fee 3 | mation Apply Online/Status Step-by-Step Guide to Apply Online MBA Admissions – 2026 | nataka, India Tel: +91",success,
Unknown,https://cmcludhiana.in,,,,,,,,,,,failed,All URL candidates failed for https://cmcludhiana.in
Faculty of Management Studies,https://fms.edu,https://fms.edu/admissions/results-and-notifications,https://fms.edu/student-life,https://fms.edu/corporate-relations/placement-reports,,https://fms.edu/contact-us,Be | MBA,rs,,,"Faculty of Management Studies Student Life Contact Us Important Links Alumni Portal About About the Institute Dean's Welcome Facilities NAAC SSR Report Alumni Community Diversity And Inclusion Programmes MBA Full Time MBA-Executive (Evening Programme) MBA-Executive HCA (Evening Programme) Doctoral Programme General Management Programme Management Development Faculty & Research Our Faculty Directory Research And Papers Conferences Student Life Student Life Management Science Association Student Committees Exchange Program Grievance Redressal Admissions Online Admissions Portal Results & Notifications Online Fee Deposit Corporate Relations Recruiters@FMS Corporate Competitions Placement Reports Build a Relationship with Us Batch Profiles Contact Corporate Relations and Placement Team Student Life Student Life Student life at FMS is vibrant and multifaceted, offering an experience that extends well beyond the classroom. With a wide array of activities, students are encouraged to engage in academic, cultural, and social events that foster personal and professional growth. From participating in industry workshops and guest lectures to joining student societies and organizing national-level fests, our students are immersed in a dynamic environment. These experiences not only enhance their learning but also build strong networks and leadership skills. The campus atmosphere is one of collaboration, innovation, and continuous development , making FMS a place where students thrive both academically and personally. The balance between rigorous academics and a rich extracurricular life ensures that students at FMS are well-prepared for their future careers, equipped with a holistic understanding of the business world and the skills needed to succeed. Management Science Association At FMS, the two-year MBA journey extends beyond traditional classroom learning, involving students in a diverse range of activities orchestrated by the Management Science Association (MSA). MSA's mission is to promote holistic development by blending academic excellence with practical experience. Through participation in various initiatives, including academic competitions, industry workshops, community projects, and campus events, students gain invaluable insights and skills. MSA’s comprehensive approach, from onboarding new students to managing placements, ensures a well-rounded and enriching experience. The MSA team is committed to enhancing campus life, creating an environment that supports both personal and professional growth. Learn More Cultural Activities Inglorious Custards Showcase your improv skills by expressing various emotions in unexpected situations. Move N Groove A group dance competition, where you have to put your best foot forward and break a leg! Stars of 2026 Let your talents shine and sparkle the campus!✨ A talent show where you appall the audience with your flair Section Wars Who needs collaboration when you can compete? Both the batches shake hands to win against other sections in all sort of cultural events! Batch Parties Be it the stress of preparation, or celebrating your success there ain't no better way than a night filled with Music, Dance, and ""Liquid Courage"" Jamming Sessions for Clubs Put your soul into acting, dancing, singing, painting, or anything that you are good at in the jamming sessions organized by our cultural society! A day filled with fun gatherings of people you can have a great time with. Student Messages Like every other candidate, coming to FMS was a dream come true. It pushed me to challenge myself and discover my passion for finance. Being part of the placement committee taught me invaluable lessons in leadership and teamwork—skills I continue to carry forward in my professional journey. Somya Kathuria Wholesale Credit Risk Analyst, Corporate and Investment Banking JP Morgan & Chase My experience at FMS Delhi was transformative. The diverse peer group, vast alumni network, and industry interactions enriched my journey. The student-led masterclasses and challenging semesters shaped my understanding of the business world. FMS ultimately led me to secure my dream role at Coca-Cola, for which I’m immensely grateful. Kamini Gohil Management Trainee Coca-Cola India From chai-fueled debates to midnight case crunches, FMS was an ecosystem where business acumen flourished and networks thrived. We mastered the art of decoding the professor's cryptic hints, hustling and pulling all nighters. But amidst the chaos, we forged unbreakable bonds with briliant yet crazy classmates and emerged as savvy business minds ready to conquer boardrooms – or at least survive them with a smile :) Shishir Joshi Junior Associate McKinsey & Company Quick Links Home About Us Contact Us Admin Admissions Online Admissions Portal Results & Notifications Online Fee Deposit Programmes More Faculty Directory Student Life Contact Placement Team Recruiters@FMS © 2024, All rights reserved: fees=rs",success,
HINDU COLLEGE University Of Delhi,https://hinducollege.ac.in,https://hinducollege.ac.in,https://hinducollege.ac.in/acd-short-courses.aspx,https://hinducollege.ac.in/qucik-plac.aspx,https://hinducollege.ac.in,https://hinducollege.ac.in/contact-us.aspx,,,,,,success,
Unknown,https://jipmer.edu.in,,,,,,,,,,,failed,All URL candidates failed for https://jipmer.edu.in
"Kasturba Medical College (KMC), Manipal | MAHE",https://manipal.edu/kmc-manipal.html,https://manipal.edu/mu/admission/indian-students/how-to-apply.html,https://manipal.edu/kmc-manipal/mci-bog-compliance/approval-of-courses.html,https://manipal.edu/mu/important-links/careers-mu.html,https://www.manipal.edu/fees,https://manipal.edu/kmc-manipal/about-kmc/contact.html,B.Tech | BArch | BBA | BDS | BDes | BPharm | BTech | Bachelor of Technology | M.Tech | MBA | MBBS | MCA | MSc | PhD,,Category Course Fees 2026 | Category Course Fees ; 2026 | Category Course Fees for SAARC & other EW Countries 2026 | Category Course Fees for SAARC & other EW Countries ; 2026 | category Program & Hostel Fee structures. 2026,,"Program Fee, Hostel Fee & Refund Policy Fee & Refunds Program Fee, Hostel Fee & Refund Policy Click on the following links to know more about the General / Foreign / NRI category Program & Hostel Fee structures. 2026 General Category Course Fees 2026 Foreign / NRI Category Course Fees 2026 Foreign/NRI Category Course Fees for SAARC & other EW Countries 2026 Hostel Fee & Other Details Refund Rule – 2026 Admissions Click Here for the Fee Refund Policy 2026 – Applicable for UGC approved programs Click Here for the Fee Refund Policy 2026 – Applicable for AICTE approved programs ( B.Tech, M.Tech, ME, B.Des, BFA, M.Des, MCA, BBA, IPM/BBA (Hons), BHM, MHM) Click Here for the Fee Refund Policy 2026 – Applicable for MBA program Click here for Terms & Conditions for Online Payment Important Links Apply Online Programs Offered Indian (Domestic) / International Admissions Eligibility & Admission Process Entrance Exams Fees and Refunds Scholarships & Financial Aid Public Advisory Destination Manipal on Social Media: YouTube , Instagram We use cookies on this website to make your browsing experience better. By continuing to use this website, you agree to our Privacy & Cookie Policy . Accept and Continue 2026 General Category Course Fees ; 2026 Foreign / NRI Category Course Fees ; 2026 Foreign/NRI Category Course Fees for SAARC & other EW Countries ; 2026 Hostel Fee & Other Details: rankings=category Program & Hostel Fee structures. 2026 | Category Course Fees 2026 | Category Course Fees for SAARC & other EW Countries 2026 | Category Course Fees ; 2026 | Category Course Fees for SAARC & other EW Countries ; 2026",success,
Unknown,https://nimhans.ac.in,,,,,,,,,,,failed,All URL candidates failed for https://nimhans.ac.in
"Post Graduate Institute of Medical Education and Research, Chandigarh, India",https://pgimer.edu.in,,,,,,,,,,,success,
AIIMS - All India Institute Of Medical Science,https://www.aiims.edu,,https://www.aiims.edu/index.php/en/about-us/2019-02-06-06-15-52/2019-02-06-06-26-00,,,,,,"air, Medical Director, Amrita Institute of Medical Sciences, Elamakkara P.O, Kochi-682041 | mation Act 2005",,,success,
