college_name,website,page_category,page_url,page_title,course,fees,rankings,cutoffs,other_details,raw_detail,structured_summary,structured_status,structured_error
Armed Forces Medical College,https://afmc.nic.in,courses,https://afmc.nic.in/mbbs-courses,"MBBS Courses Home Courses MBBS Courses Introduction Armed Forces Medical College (AFMC) Pune is a premier medical institute of India. The College is a Centre of Excellence for medical education and research. AFMC Pune is affiliated to Maharashtra University of Health Sciences, Nashik and is recognized by the National Medical Commission (NMC). Course Duration The duration of the MBBS course is 4 ½ years followed by compulsory rotating internship training of one year. All medical cadets",Armed Forces Medical College MBBS Courses,,gate marks in these three science subjects taken together and not less than 50% | Mathematics of the tenth standard. Number of Seats A total of 145 | airs & Ministry of Defence may sponsor and select five (05 | category candidates. Up to 10,,,Armed Forces Medical College MBBS Courses: rankings=gate marks in these three science subjects taken together and not less than 50% | Mathematics of the tenth standard. Number of Seats A total of 145 | airs & Ministry of Defence may sponsor and select five (05 | category candidates. Up to 10,"MBBS Courses Home Courses MBBS Courses Introduction Armed Forces Medical College (AFMC) Pune is a premier medical institute of India. The College is a Centre of Excellence for medical education and research. AFMC Pune is affiliated to Maharashtra University of Health Sciences, Nashik and is recognized by the National Medical Commission (NMC). Course Duration The duration of the MBBS course is 4 ½ years followed by compulsory rotating internship training of one year. All medical cadets",success,
Armed Forces Medical College,https://afmc.nic.in,courses,https://afmc.nic.in/mbbs-courses,"MBBS Courses Home Courses MBBS Courses Introduction Armed Forces Medical College (AFMC) Pune is a premier medical institute of India. The College is a Centre of Excellence for medical education and research. AFMC Pune is affiliated to Maharashtra University of Health Sciences, Nashik and is recognized by the National Medical Commission (NMC). Course Duration The duration of the MBBS course is 4 ½ years followed by compulsory rotating internship training of one year. All medical cadets","Additional Information MBBS Courses Home Courses MBBS Courses Introduction Armed Forces Medical College (AFMC) Pune is a premier medical institute of India. The College is a Centre of Excellence for medical education and research. AFMC Pune is affiliated to Maharashtra University of Health Sciences, Nashik and is recognized by the National Medical Commission (NMC). Course Duration The duration of the MBBS course is 4 ½ years followed by compulsory rotating internship training of one year. All medical cadets commissioned into the AFMS will undergo internship training in selected service hospitals recognized by the National Medical Commission (NMC). Service Liability Student have compulsory liability to serve as Commissioned Officers in the Armed Forces Medical Services. The offer of the type of commission will be depend on the vacancies available. The candidate’s parents/guardians are required to sign a bond agreement at the time of admission. Eligibility Criteria 1. General A candidate seeking admission to the MBBS Course in AFMC is eligible if he / she fulfils the following criteria",,gate marks in these three science subjects taken together and not less than 50% | Mathematics of the tenth standard. Number of Seats A total of 145 | airs & Ministry of Defence may sponsor and select five (05 | category candidates. Up to 10,,- The candidate should be a citizen of India. Foreign nationals of Indian origin may be admitted into AFMC only after they have acquired Indian Citizenship or in respect of whom the Ministry of Home Affairs issues a certificate of eligibility. Must be unmarried. Marriage during the course is not permitted. Should be medically fit as per prescribed standards by the Govt of India Ministry of Defence. Age criteria The candidate should have attained the age of 17 years on 31 Dec of admission year but must not have attained the age of 24 years on that date. 2. Academic Qualification Candidates must have passed all the subjects opted for in the first attempt of the qualifying examinations as a regular candidate with English Physics Chemistry and Biology taken simultaneously and securing not less than 60% of the aggregate marks in these three science subjects taken together and not less than 50% marks in English and 50% marks in each of the science subjects. They must have also passed an examination in Mathematics of the tenth standard. Number of Seats A total of 145 medical cadets (115 boys & 30 girls) will be admitted in a year. In addition to the above 145 seats Govt of India at its discretion through Ministry of External Affairs & Ministry of Defence may sponsor and select five (05) NEET(UG) qualified foreign students from friendly foreign countries for MBBS training in AFMC under their aid / collaboration programmes. Reservation Reservation is only for SC/ST category candidates. Up to 10 seats out of 145 are reserved for SC/ST candidates subject to their application for AFMC Pune and also qualified in the NEET (UG). If shortlisted and called for screening at AFMC they must come in the final merit lists of boys and girls. They must fulfill all other conditions/standards as applicable to non-SC / ST candidates like age eligibility academic qualifications medical fitness etc. Additional Information Further information regarding MBBS admission can be found here Information brochure published for admission every year. Contact us Text Spacing Friendly Font Highlight Link Line Height Text Align Reset You are now being redirected to an external website. The external site is not maintained by us and may have a different privacy policy. We are not responsible for the content or reliability of the linked website and do not necessarily endorse the views expressed within them. OK You are now being redirected to an external website. The external site is not maintained by us and may have a different privacy policy. We are not responsible for the content or reliability of the linked website and do not necessarily endorse the views expressed within them. OK,"Additional Information MBBS Courses Home Courses MBBS Courses Introduction Armed Forces Medical College (AFMC) Pune is a premier medical institute of India. The College is a Centre of Excellence for medical education and research. AFMC Pune is affiliated to Maharashtra University of Health Sciences, Nashik and is recognized by the National Medical Commission (NMC). Course Duration The duration of the MBBS course is 4 ½ years followed by compulsory rotating internship training of one year. All medical cadets commissioned into the AFMS will undergo internship training in selected service hospitals recognized by the National Medical Commission (NMC). Service Liability Student have compulsory liability to serve as Commissioned Officers in the Armed Forces Medical Services. The offer of the type of commission will be depend on the vacancies available. The candidate’s parents/guardians are required to sign a bond agreement at the time of admission. Eligibility Criteria 1. General A candidate seeking admission to the MBBS Course in AFMC is eligible if he / she fulfils the following criteria: - The candidate should be a citizen of India. Foreign nationals of Indian origin may be admitted into AFMC only after they have acquired Indian Citizenship or in respect of whom the Ministry of Home Affairs issues a certificate of eligibility. Must be unmarried. Marriage during the course is not permitted. Should be medically fit as per prescribed standards by the Govt of India, Ministry of Defence. Age criteria: The candidate should have attained the age of 17 years on 31 Dec of admission year but must not have attained the age of 24 years on that date. 2. Academic Qualification Candidates must have passed all the subjects opted for in the first attempt of the qualifying examinations as a regular candidate with English, Physics, Chemistry and Biology taken simultaneously and securing not less than 60% of the aggregate marks in these three science subjects taken together and not less than 50% marks in English and 50% marks in each of the science subjects. They must have also passed an examination in Mathematics of the tenth standard. Number of Seats A total of 145 medical cadets (115 boys & 30 girls) will be admitted in a year. In addition to the above 145 seats, Govt of India at its discretion through Ministry of External Affairs & Ministry of Defence may sponsor and select five (05) NEET(UG) qualified foreign students from friendly foreign countries for MBBS training in AFMC, under their aid / collaboration programmes. Reservation Reservation is only for SC/ST category candidates. Up to 10 seats out of 145 are reserved for SC/ST candidates subject to their application for AFMC, Pune and also qualified in the NEET (UG). If shortlisted and called for screening at AFMC, they must come in the final merit lists of boys and girls. They must fulfill all other conditions/standards, as applicable to non-SC / ST candidates, like age eligibility, academic qualifications, medical fitness, etc. Additional Information Further information regarding MBBS admission can be found here Information brochure published for admission every year. Contact us Text Spacing Friendly Font Highlight Link Line Height Text Align Reset You are now being redirected to an external website. The external site is not maintained by us and may have a different privacy policy. We are not responsible for the content or reliability of the linked website and do not necessarily endorse the views expressed within them. OK You are now being redirected to an external website. The external site is not maintained by us and may have a different privacy policy. We are not responsible for the content or reliability of the linked website and do not necessarily endorse the views expressed within them. OK: rankings=gate marks in these three science subjects taken together and not less than 50% | Mathematics of the tenth standard. Number of Seats A total of 145 | airs & Ministry of Defence may sponsor and select five (05 | category candidates. Up to 10","MBBS Courses Home Courses MBBS Courses Introduction Armed Forces Medical College (AFMC) Pune is a premier medical institute of India. The College is a Centre of Excellence for medical education and research. AFMC Pune is affiliated to Maharashtra University of Health Sciences, Nashik and is recognized by the National Medical Commission (NMC). Course Duration The duration of the MBBS course is 4 ½ years followed by compulsory rotating internship training of one year. All medical cadets",success,
Armed Forces Medical College,https://afmc.nic.in,infrastructure,https://afmc.nic.in/acl,"Ashoka Chakra Library Home About AFMC Ashoka Chakra Library It was started as “Central Library” in 1948. One of the oldest medical libraries in India.Undergraduate and Postgraduate libraries were amalgamated in 2010 and library was shifted to present location in 2010 and named as Ashoka Chakra Library. Inaugurated in 2010 by Lt Gen D P Vats, Director and Commandant, AFMC. Named after Late Major Laishram Jyotin Singh, AC. First Medical Officer of the Armed Forces Medical Services to be conferred","Armed Forces Medical College Ashoka Chakra Library Ashoka Chakra Library Home About AFMC Ashoka Chakra Library It was started as “Central Library” in 1948. One of the oldest medical libraries in India.Undergraduate and Postgraduate libraries were amalgamated in 2010 and library was shifted to present location in 2010 and named as Ashoka Chakra Library. Inaugurated in 2010 by Lt Gen D P Vats, Director and Commandant, AFMC. Named after Late Major Laishram Jyotin Singh, AC. First Medical Officer of the Armed Forces Medical Services to be conferred the Nation's highest peacetime gallantry award. Was awarded Ashoka Chakra posthumously on 26 January 2011 for his valour in Kabul on 26 February 2010. The library has a surface area of 4000 sq ft which is spread over three floors consisting of ground floor having UG section, reading room and BPMT room, first floor having PG section, MJAFI gallery and office, second floor having computer club and reading area. There is seating arrangement for 225 users. There are three reading rooms which are open 24 x 7 hrs for PG, UG, BPMT. The total number of books available are 17754. There are 80 print Journals including 38 national and 42 internationals. There are about 23260 Bound Journals available in the library. The Electronic database which is available is for 440 E-Books. The library gives access to more than 240 journals through National Medical Library’s Electronic Resources in Medicine (NML-ERMED) Consortium centrally. The library has purchased 242 high quality online e-journals from 5 leading publishers namely British Medical Journal Publishing, Cambridge University Press, Lippincott Williams & Wilkins, Oxford University Press and John Wiley. The library also has a subscription to the Clinical key which gives access to the users on static IP and access to 750 off campus users. The library also has a computer club for Online Computer Training & Exams of NSG Cadets, CON, Trainees from Dept of Pharmacy and for Hindi Cell. Contact us Text Spacing Friendly Font Highlight Link Line Height Text Align Reset You are now being redirected to an external website. The external site is not maintained by us and may have a different privacy policy. We are not responsible for the content or reliability of the linked website and do not necessarily endorse the views expressed within them. OK You are now being redirected to an external website. The external site is not maintained by us and may have a different privacy policy. We are not responsible for the content or reliability of the linked website and do not necessarily endorse the views expressed within them. OK",,mated in 2010 | cation in 2010,,,"Armed Forces Medical College Ashoka Chakra Library Ashoka Chakra Library Home About AFMC Ashoka Chakra Library It was started as “Central Library” in 1948. One of the oldest medical libraries in India.Undergraduate and Postgraduate libraries were amalgamated in 2010 and library was shifted to present location in 2010 and named as Ashoka Chakra Library. Inaugurated in 2010 by Lt Gen D P Vats, Director and Commandant, AFMC. Named after Late Major Laishram Jyotin Singh, AC. First Medical Officer of the Armed Forces Medical Services to be conferred the Nation's highest peacetime gallantry award. Was awarded Ashoka Chakra posthumously on 26 January 2011 for his valour in Kabul on 26 February 2010. The library has a surface area of 4000 sq ft which is spread over three floors consisting of ground floor having UG section, reading room and BPMT room, first floor having PG section, MJAFI gallery and office, second floor having computer club and reading area. There is seating arrangement for 225 users. There are three reading rooms which are open 24 x 7 hrs for PG, UG, BPMT. The total number of books available are 17754. There are 80 print Journals including 38 national and 42 internationals. There are about 23260 Bound Journals available in the library. The Electronic database which is available is for 440 E-Books. The library gives access to more than 240 journals through National Medical Library’s Electronic Resources in Medicine (NML-ERMED) Consortium centrally. The library has purchased 242 high quality online e-journals from 5 leading publishers namely British Medical Journal Publishing, Cambridge University Press, Lippincott Williams & Wilkins, Oxford University Press and John Wiley. The library also has a subscription to the Clinical key which gives access to the users on static IP and access to 750 off campus users. The library also has a computer club for Online Computer Training & Exams of NSG Cadets, CON, Trainees from Dept of Pharmacy and for Hindi Cell. Contact us Text Spacing Friendly Font Highlight Link Line Height Text Align Reset You are now being redirected to an external website. The external site is not maintained by us and may have a different privacy policy. We are not responsible for the content or reliability of the linked website and do not necessarily endorse the views expressed within them. OK You are now being redirected to an external website. The external site is not maintained by us and may have a different privacy policy. We are not responsible for the content or reliability of the linked website and do not necessarily endorse the views expressed within them. OK: rankings=mated in 2010 | cation in 2010","Ashoka Chakra Library Home About AFMC Ashoka Chakra Library It was started as “Central Library” in 1948. One of the oldest medical libraries in India.Undergraduate and Postgraduate libraries were amalgamated in 2010 and library was shifted to present location in 2010 and named as Ashoka Chakra Library. Inaugurated in 2010 by Lt Gen D P Vats, Director and Commandant, AFMC. Named after Late Major Laishram Jyotin Singh, AC. First Medical Officer of the Armed Forces Medical Services to be conferred",success,
Armed Forces Medical College,https://afmc.nic.in,rankings,https://afmc.nic.in,Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC,RECRUITMENT OF HUMAN RESOURSES AT YMF PhD NODE,,"cation | Study at Courses | Academic / Research | ARMEDiCON 2026 | matic Reviews and Meta Analysis | Illuminati 2025 | cation | 02 | CATION FOR RECRUITMENT TO THE POST FIELD INVESTIGATOR AT HTARRC, AFMC PUNE - 2026 | mation Brochure for Admission to MBBS Course at AFMC, Pune - 2026 | cation Study at Courses MBBS The duration of the MBBS course is 4 | matic Reviews and Meta Analysis Illuminati 2025",,,"RECRUITMENT OF HUMAN RESOURSES AT YMF PhD NODE: total_fees=Total Fee: rs, rankings=cation | Study at Courses | Academic / Research | ARMEDiCON 2026 | matic Reviews and Meta Analysis | Illuminati 2025 | cation | 02 | CATION FOR RECRUITMENT TO THE POST FIELD INVESTIGATOR AT HTARRC, AFMC PUNE - 2026 | mation Brochure for Admission to MBBS Course at AFMC, Pune - 2026 | cation Study at Courses MBBS The duration of the MBBS course is 4 | matic Reviews and Meta Analysis Illuminati 2025",Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC,success,
Armed Forces Medical College,https://afmc.nic.in,rankings,https://afmc.nic.in,Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC,"ADVERTISEMENT FOR MEDICAL OFFICIER POST TO BE PUBLISHED ON THE WEBSITE ARTC AFMC, PUNE",,"cation | Study at Courses | Academic / Research | ARMEDiCON 2026 | matic Reviews and Meta Analysis | Illuminati 2025 | cation | 02 | CATION FOR RECRUITMENT TO THE POST FIELD INVESTIGATOR AT HTARRC, AFMC PUNE - 2026 | mation Brochure for Admission to MBBS Course at AFMC, Pune - 2026 | cation Study at Courses MBBS The duration of the MBBS course is 4 | matic Reviews and Meta Analysis Illuminati 2025",,,"ADVERTISEMENT FOR MEDICAL OFFICIER POST TO BE PUBLISHED ON THE WEBSITE ARTC AFMC, PUNE: total_fees=Total Fee: rs, rankings=cation | Study at Courses | Academic / Research | ARMEDiCON 2026 | matic Reviews and Meta Analysis | Illuminati 2025 | cation | 02 | CATION FOR RECRUITMENT TO THE POST FIELD INVESTIGATOR AT HTARRC, AFMC PUNE - 2026 | mation Brochure for Admission to MBBS Course at AFMC, Pune - 2026 | cation Study at Courses MBBS The duration of the MBBS course is 4 | matic Reviews and Meta Analysis Illuminati 2025",Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC,success,
Armed Forces Medical College,https://afmc.nic.in,rankings,https://afmc.nic.in,Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC,"Information Brochure for Admission to MBBS Course at AFMC, Pune - 2026",,"cation | Study at Courses | Academic / Research | ARMEDiCON 2026 | matic Reviews and Meta Analysis | Illuminati 2025 | cation | 02 | CATION FOR RECRUITMENT TO THE POST FIELD INVESTIGATOR AT HTARRC, AFMC PUNE - 2026 | mation Brochure for Admission to MBBS Course at AFMC, Pune - 2026 | cation Study at Courses MBBS The duration of the MBBS course is 4 | matic Reviews and Meta Analysis Illuminati 2025",,,"Information Brochure for Admission to MBBS Course at AFMC, Pune - 2026: total_fees=Total Fee: rs, rankings=cation | Study at Courses | Academic / Research | ARMEDiCON 2026 | matic Reviews and Meta Analysis | Illuminati 2025 | cation | 02 | CATION FOR RECRUITMENT TO THE POST FIELD INVESTIGATOR AT HTARRC, AFMC PUNE - 2026 | mation Brochure for Admission to MBBS Course at AFMC, Pune - 2026 | cation Study at Courses MBBS The duration of the MBBS course is 4 | matic Reviews and Meta Analysis Illuminati 2025",Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC History Campus Life Welcome To Armed Forces Medical College AFMC,success,
CHRIST (Deemed to be University),https://christuniversity.in,admissions,https://christuniversity.in/admission-home,"Admission Sidebar Apply Online/Status UG / PG / PhD Programmes and Interdisciplinary Masters Programme: Applications Open 1 REGISTER Register with your Email ID Login to the Admission Portal 2 APPLY ONLINE Fill the Application Form Pay Application Fee 3 ENTRANCE TEST Entrance Test (If Applicable) Assessment Interview 4 RESULT Check login page for result If selected, Offer Letter attached 5 FEE PAYMENT Pay Course Fee Online Complete Admission Process UG / PG / PhD Programmes and",UG / PG / PhD Programmes and Interdisciplinary Masters Programme,,"cations Open 1 | cation Form Pay Application Fee 3 | mation Apply Online/Status Step-by-Step Guide to Apply Online MBA Admissions – 2026 | nataka, India Tel: +91",,Applications Open,"UG / PG / PhD Programmes and Interdisciplinary Masters Programme: Applications Open: rankings=cations Open 1 | cation Form Pay Application Fee 3 | mation Apply Online/Status Step-by-Step Guide to Apply Online MBA Admissions – 2026 | nataka, India Tel: +91","Admission Sidebar Apply Online/Status UG / PG / PhD Programmes and Interdisciplinary Masters Programme: Applications Open 1 REGISTER Register with your Email ID Login to the Admission Portal 2 APPLY ONLINE Fill the Application Form Pay Application Fee 3 ENTRANCE TEST Entrance Test (If Applicable) Assessment Interview 4 RESULT Check login page for result If selected, Offer Letter attached 5 FEE PAYMENT Pay Course Fee Online Complete Admission Process UG / PG / PhD Programmes and",success,
CHRIST (Deemed to be University),https://christuniversity.in,admissions,https://christuniversity.in/admission-home,"Admission Sidebar Apply Online/Status UG / PG / PhD Programmes and Interdisciplinary Masters Programme: Applications Open 1 REGISTER Register with your Email ID Login to the Admission Portal 2 APPLY ONLINE Fill the Application Form Pay Application Fee 3 ENTRANCE TEST Entrance Test (If Applicable) Assessment Interview 4 RESULT Check login page for result If selected, Offer Letter attached 5 FEE PAYMENT Pay Course Fee Online Complete Admission Process UG / PG / PhD Programmes and",UG / PG / PhD Programmes and Interdisciplinary Masters Programme,,"cations Open 1 | cation Form Pay Application Fee 3 | mation Apply Online/Status Step-by-Step Guide to Apply Online MBA Admissions – 2026 | nataka, India Tel: +91",,,"UG / PG / PhD Programmes and Interdisciplinary Masters Programme: rankings=cations Open 1 | cation Form Pay Application Fee 3 | mation Apply Online/Status Step-by-Step Guide to Apply Online MBA Admissions – 2026 | nataka, India Tel: +91","Admission Sidebar Apply Online/Status UG / PG / PhD Programmes and Interdisciplinary Masters Programme: Applications Open 1 REGISTER Register with your Email ID Login to the Admission Portal 2 APPLY ONLINE Fill the Application Form Pay Application Fee 3 ENTRANCE TEST Entrance Test (If Applicable) Assessment Interview 4 RESULT Check login page for result If selected, Offer Letter attached 5 FEE PAYMENT Pay Course Fee Online Complete Admission Process UG / PG / PhD Programmes and",success,
CHRIST (Deemed to be University),https://christuniversity.in,admissions,https://christuniversity.in/admission-home,"Admission Sidebar Apply Online/Status UG / PG / PhD Programmes and Interdisciplinary Masters Programme: Applications Open 1 REGISTER Register with your Email ID Login to the Admission Portal 2 APPLY ONLINE Fill the Application Form Pay Application Fee 3 ENTRANCE TEST Entrance Test (If Applicable) Assessment Interview 4 RESULT Check login page for result If selected, Offer Letter attached 5 FEE PAYMENT Pay Course Fee Online Complete Admission Process UG / PG / PhD Programmes and",MBA Admissions – 2026,,"cations Open 1 | cation Form Pay Application Fee 3 | mation Apply Online/Status Step-by-Step Guide to Apply Online MBA Admissions – 2026 | nataka, India Tel: +91",,,"MBA Admissions – 2026: rankings=cations Open 1 | cation Form Pay Application Fee 3 | mation Apply Online/Status Step-by-Step Guide to Apply Online MBA Admissions – 2026 | nataka, India Tel: +91","Admission Sidebar Apply Online/Status UG / PG / PhD Programmes and Interdisciplinary Masters Programme: Applications Open 1 REGISTER Register with your Email ID Login to the Admission Portal 2 APPLY ONLINE Fill the Application Form Pay Application Fee 3 ENTRANCE TEST Entrance Test (If Applicable) Assessment Interview 4 RESULT Check login page for result If selected, Offer Letter attached 5 FEE PAYMENT Pay Course Fee Online Complete Admission Process UG / PG / PhD Programmes and",success,
CHRIST (Deemed to be University),https://christuniversity.in,courses,https://christuniversity.in/our-programmes/UGP/1,"Programmes in All Campuses Our Programmes Under Graduate Post Graduate Doctoral(PhD) Online Degree All Programmes Programme Name Part-Time Full-Time Campus Open From Open Until Status Eligibility Fees Explore Details Campus Academics Admission Examination CHRIST (Deemed to be University) Dharmaram College Post, Hosur Road, Bengaluru - 560029, Karnataka, India Tel: +91 80 4012 9100 / 9600 Fax: +91 80 4012 9000 Email: mail@christuniversity.in Web: https://www.christuniversity.in Vision EXCELLENCE","Our Campuses Programmes in All Campuses Our Programmes Under Graduate Post Graduate Doctoral(PhD) Online Degree All Programmes Programme Name Part-Time Full-Time Campus Open From Open Until Status Eligibility Fees Explore Details Campus Academics Admission Examination CHRIST (Deemed to be University) Dharmaram College Post, Hosur Road, Bengaluru - 560029, Karnataka, India Tel",,"nataka, India Tel: +91",,+91 80 4012 9100 / 9600 Fax +91 80 4012 9000 Email mail@christuniversity.in Web https //www.christuniversity.in Vision EXCELLENCE AND SERVICE Mission CHRIST (Deemed to be University) is a nurturing ground for an individual's holistic development to make effective contribution to the society in a dynamic environment. UBA FCRA Library Centres Research Admission Course Index Copyright © CHRIST (Deemed to be University) 2025,"Our Campuses Programmes in All Campuses Our Programmes Under Graduate Post Graduate Doctoral(PhD) Online Degree All Programmes Programme Name Part-Time Full-Time Campus Open From Open Until Status Eligibility Fees Explore Details Campus Academics Admission Examination CHRIST (Deemed to be University) Dharmaram College Post, Hosur Road, Bengaluru - 560029, Karnataka, India Tel: +91 80 4012 9100 / 9600 Fax: +91 80 4012 9000 Email: mail@christuniversity.in Web: https://www.christuniversity.in Vision EXCELLENCE AND SERVICE Mission CHRIST (Deemed to be University) is a nurturing ground for an individual's holistic development to make effective contribution to the society in a dynamic environment. UBA FCRA Library Centres Research Admission Course Index Copyright © CHRIST (Deemed to be University) 2025: rankings=nataka, India Tel: +91","Programmes in All Campuses Our Programmes Under Graduate Post Graduate Doctoral(PhD) Online Degree All Programmes Programme Name Part-Time Full-Time Campus Open From Open Until Status Eligibility Fees Explore Details Campus Academics Admission Examination CHRIST (Deemed to be University) Dharmaram College Post, Hosur Road, Bengaluru - 560029, Karnataka, India Tel: +91 80 4012 9100 / 9600 Fax: +91 80 4012 9000 Email: mail@christuniversity.in Web: https://www.christuniversity.in Vision EXCELLENCE",success,
