college_name,website,category,page_url,summary,emails,phones,dates,fees,courses,rankings,cutoffs,course_details,status,error
Home | भारतीय प्रौद्योगिकी संस्थान मुंबई,https://www.iitb.ac.in,admissions,https://acad.iitb.ac.in/admissions/bachelors,"Skip to main content Academic Office Link to old website Bachelors' Programmes In our undergraduate (UG) programmes, IIT Bombay has been at the forefront of implementing cutting-edge teaching methodologies and courses. We've recently updated our curriculum to align with 21st-century student needs. Key changes include: Introduction of hands-on courses like maker space Early integration of data science and AI courses Increased flexibility in course selection, both within and outside of",,,,,Ba | ma | be | B.Tech | M.Tech,,,,success,
Home | भारतीय प्रौद्योगिकी संस्थान मुंबई,https://www.iitb.ac.in,courses,https://acad.iitb.ac.in/academics/rules,"Skip to main content Academic Office Link to old website Rules and regulations Rules & regulations for undergraduate programmes Guidelines for Interdisciplinary Dual Degree Programme (IDDDP) Rules & regulations for postgraduate programmmes Student medical rules Guidelines for preparation for synopsis/ thesis/ dissertations/ reports Academic malpractices Academic activities permissible for faculty, including while they are on long leave/ lien/ sabbatical Rules for award of medals and academic",,,,,ma,,,,success,
Home | भारतीय प्रौद्योगिकी संस्थान मुंबई,https://www.iitb.ac.in,placements,https://campus.placements.iitb.ac.in/,,,,,,,,,,success,
Home | भारतीय प्रौद्योगिकी संस्थान मुंबई,https://www.iitb.ac.in,contact,https://www.iitb.ac.in/contact-us,"Skip to main content Mailing Address Address: IIT Bombay, Powai, Mumbai 400 076, Maharashtra, India Phone: +91 (22) 2572 2545 Working Hours 9:15 am to 5:45 pm (Monday to Friday) How to reach IIT Bombay Here's how you can reach IIT Bombay (located in Powai, Mumbai) using various modes of transport: By Train Central Line: Closest Station: Kanjurmarg or Vikhroli. From Kanjurmarg (approximately 3 km from IIT Bombay): You can take an auto-rickshaw or a taxi to the campus. From Vikhroli: Similarly,",jeeadv@iitb.ac.in | uceed@iitb.ac.in | gateoffice@iitb.ac.in | ceed@iitb.ac.in,+91 (22) 2572 2545 | +91 (22) 2576 4063 | +91 (22) 2576 7068,,rs 9 | rs,ma | BE,"mately 3 | mately 10 | mately 4 | JEE (Advanced), UCEED & CEED Address: JEE Office, IIT Bombay, Powai, Mumbai 400076 | airperson GATE Address: GATE Office, IIT Bombay, Powai, Mumbai 400076",,"Key Tips: Skip to main content Mailing Address Address: IIT Bombay, Powai, Mumbai 400 076, Maharashtra, India Phone: +91 (22) 2572 2545 Working Hours 9:15 am to 5:45 pm (Monday to Friday) How to reach IIT Bombay Here's how you can reach IIT Bombay (located in Powai, Mumbai) using various modes of transport: By Train Central Line: Closest Station: Kanjurmarg or Vikhroli. From Kanjurmarg (approximately 3 km from IIT Bombay): You can take an auto-rickshaw or a taxi to the campus. From Vikhroli: Similarly, auto-rickshaws or taxis are readily available to reach the campus. Western Line: Closest Station: Andheri. From Andheri (approximately 10 km from IIT Bombay): You can take an auto-rickshaw, taxi, or a BEST bus heading towards Powai. By Metro Closest Metro Station: Saki Naka (Mumbai Metro Line 1/ Blue line), Aarey JVLR (Mumbai metro Aqua line) From Saki Naka (approximately 4 km from IIT Bombay): You can take an auto-rickshaw to reach the campus. From Aarey JVLR: You can take an auto-rickshaw to reach the campus. By Bus BEST buses frequently connect IIT Bombay to different parts of Mumbai. Popular routes include: From Kanjurmarg or Vikhroli stations: Look for buses heading to Hiranandani Gardens or IIT Main Gate. From Sion, Dadar, or other areas: Direct buses to IIT Bombay or Powai are available. Bus stops near IIT Bombay include IIT Main Gate, IIT Market Gate, and Hiranandani Gardens. You can download and use the mIndicator app to get information on bus numbers and bus routes. By Airport From Chhatrapati Shivaji Maharaj International Airport/ Domestic Airport: Options: Prepaid Taxi or Ride-Sharing Apps: You can take a pre-paid taxi or book an Uber or Ola at the airport. Auto-Rickshaw: You can also take a pre-paid auto at the airport. Metro: Take the metro from Airport Road station to Saki Naka station, then an auto-rickshaw to IIT Bombay. Chalo bus: You can download the Chalo bus app and enter IIT Bombay or Powai IIT Main Gate or IIT Market Gate as your destination. You can check the available bus numbers and routes. By Road IIT Bombay is accessible via the Eastern Express Highway and Jogeshwari-Vikhroli Link Road (JVLR). Private vehicles, auto-rickshaws, or taxis can bring you directly to the campus. Key Tips: Always confirm with the driver (especially auto-rickshaws) that they are taking you to ""IIT Bombay, Powai,"" as other campuses have similar names. Traffic in Mumbai can be heavy during peak hours, so plan your trip accordingly. Institute Functionaries Visit Chief Vigilance Officer (CVO) Visit Public Information Officers for RTI Visit Public Relations Officer Visit International Relations Visit Undergraduate Admissions JEE (Advanced), UCEED Chairman, JEE (Advanced), UCEED & CEED Address: JEE Office, IIT Bombay, Powai, Mumbai 400076 Phone: +91 (22) 2576 4063 / 9093/ 9094 E-mail: jeeadv@iitb.ac.in uceed@iitb.ac.in Website: www.jeeadv.ac.in: fees=rs 9 | rs, rankings=mately 3 | mately 10 | mately 4 | JEE (Advanced), UCEED & CEED Address: JEE Office, IIT Bombay, Powai, Mumbai 400076 | airperson GATE Address: GATE Office, IIT Bombay, Powai, Mumbai 400076 | www.uceed.iitb.ac.in Postgraduate Admissions Graduate Aptitude Test in Engineering Chairperson GATE Address: GATE Office, IIT Bombay, Powai, Mumbai 400076 Phone: +91 (22) 2576 7068 E-mail: gateoffice@iitb.ac.in Website: www.gate.iitb.ac.in Common Entrance Exam for Design (CEED) Chairman, JEE (Advanced), UCEED & CEED Address: JEE Office, IIT Bombay, Powai, Mumbai 400076 Phone: +91 (22) 2576 4063 / 9093/ 9094 E-mail: ceed@iitb.ac.in Website: www.ceed.iitb.ac.in Telephone Directory Board line: +91 (22) 2572 2545 International callers please use (+91) for the country code for India, (22) as the city code for Mumbai. National callers outside the Mumbai must use the city code along with the STD access code (0): 022. In the following tables, most of the numbers are reachable from outside IIT Bombay by dialling +91 (22) 2576 ABCD, and replacing ABCD by the four digit extension given below. The latest telephone directory can be obtained by a search through this interface . Campus Map View Map View Map View Map View Map How to Use Click View Map to view a zoomed-out map. Identify the department/building name from the list on the right. Note the grid coordinate (e.g., A1) and serial number. Locate the grid coordinate using the map's outer border guides. Within the grid, find the serial number for the building's approximate location. InstiApp InstiApp is an all-encompassing solution for IIT Bombay life, connecting academics, hostels, co-curricular activities, and more. Download this user-friendly app to simplify your insti experience. The app also contains InstiMap, which is a user-friendly, searchable campus map for first-time visitors, accessible on instiApp. Get it at: https://insti.app/map . We strive to meet your expectations. If you have any suggestions, share your valuable feedback with us. Submit a Feedback: fees=rs 9 | rs, rankings=mately 3 | mately 10 | mately 4 | JEE (Advanced), UCEED & CEED Address: JEE Office, IIT Bombay, Powai, Mumbai 400076 | airperson GATE Address: GATE Office, IIT Bombay, Powai, Mumbai 400076",success,
Home Page : IIT Delhi,https://www.iitd.ac.in,admissions,https://home.iitd.ac.in/pg-admissions.php,Search Entrepreneurship Formula Society of Automotive Engineer Co-curricular and Academic Interaction Council (CAIC) Housing Student Teacher Interaction Council Awards Robotics Club Office of Diversity and Inclusion (Include SC/ST Cell) OBC Welfare Cell For Faculty and Staff Thinking IIT Delhi What is IITD Why Join IITD How to Join IITD Stay Connected Joining IIT Delhi Welcome Director's message Deans' Corner Arriving Getting Started Rules & Policies Benefits & Facilities Around Campus Serving,,,"June 19, 2026 | June 28, 2026 | June 29, 2026",,Be | Ma | PhD | Ba | Ph.D | MBA | MSc,Categories) for the Academic Year 2026 | cation commences on June 19 | cation is June 28 | mation Brochure for Ph.D. and PG Admissions for 1 | mation Brochure for 2,,"Type the keyword(s) you are looking for, like... Undergraduate Programs Latest Research Search Entrepreneurship Formula Society of Automotive Engineer Co-curricular and Academic Interaction Council (CAIC) Housing Student Teacher Interaction Council Awards Robotics Club Office of Diversity and Inclusion (Include SC/ST Cell) OBC Welfare Cell For Faculty and Staff Thinking IIT Delhi What is IITD Why Join IITD How to Join IITD Stay Connected Joining IIT Delhi Welcome Director's message Deans' Corner Arriving Getting Started Rules & Policies Benefits & Facilities Around Campus Serving IIT Delhi Assessment Incentives Teaching Research Personnel Academic Outreach Outside Engagement Procurement Medical Leave Guest house Disciplinary Issues Office of Diversity and Inclusion OBC Welfare Cell Campus Child Care Services Leaving IIT Delhi Retirement Useful links ERP CSC IITD Hospital QIP-CEP CEP Portal IRD IRIS IRD Manual Infrastructure Store and Purchase GeM Academic Establishments Rules DRIIV FITT Time Table Academic Calendar Institute Manuals Library Moodle SAC Facilities IITD Email I-Hub Foundation for Cobotics (IHFC) NYCU-IITD Campus Child Care Services Research Latest Research Research & Development Unit (IRD Unit) Corporate Relations Central Facilities Central Research Facility Central Manufacturing Facility DAILAB High Performance Computing Nanoscale Research Facility SCFBIO@IITD FITT Conferences Chairs MoUs About MoUs Active MoUs PhD Seminars I-Hub Foundation for Cobotics (IHFC) NYCU-IITD UQIDAR Alumni Alumni Relations AlmaConnect Alumni Newsletters Distinguished Alumni Endowment Foundation Contribute to IIT Delhi Alumni No Dues Degrees & Certificates Contact Alumni Office Resources Quick Access Rules Time Table Central Library Compliance Convocation Internal Website Hospital News IIT Delhi in English Media IIT Delhi in Hindi Media Press Release Institute Newsletter Alumni Newsletter Startups Online Payment Gateway QIP/CEP/TEQIP Jobs@IITD Tenders Social Initiatives Office of Diversity and Inclusion OBC Welfare Cell Dark Mode About IIT Delhi Institution of Eminence Board of Governors Building & Works Committee Finance Committee Senate Minutes of the Meetings Administration Vision, Mission & Values Organization Chart I-TEC Sonipat FAQs Social Initiatives Recruiter/Career Services eVIDYA@IITD Hindi Cell Central Research Facility Central Manufacturing Facility DAILAB High Performance Computing Nanoscale Research Facility SCFBIO@IITD IIT-PAL IIT Delhi Newsletter Latest Issue: Apr-26 Leadership Administration Accessibility Settings ✕ Text Options Font Size Letter Spacing Line Height Visual Options High Contrast Grayscale Negative Contrast Light Background Reading Aids Dyslexia Font Underline Links Big Cursor Reading Mask Reading Guide PG ADMISSIONS Home Admissions PG ADMISSIONS PG ADMISSIONS Special admission drive for SC and ST candidates for Ph.D. Programmes for 1st Semester, 2026-27 Tentative vacant Ph.D. seats for Special Admission Drive under FIA (SC/ST Categories) for the Academic Year 2026-27 (First Semester) Submission of online application commences on June 19, 2026 (11.00 a.m.) <Apply now> Last date for submission of online application is June 28, 2026 (4.00 p.m.) Opening of edit window for the applicants: June 29, 2026 (10.00 a.m. to 4.00 p.m.) Registration-cum-Orientation Schedule for PG/PHD programs: 1st Semester 2026-27 Registration Schedule for MBA program: 1st Semester 2026-27 📄 Information Brochure for Ph.D. and PG Admissions for 1st Semester 2026-27 COAP 2026 Director's Message for Ph.D. and M.S.(R) students admitted in 2nd Semester 2025-26 Welcome letter by the Dean, Student Affairs Orientation and Registration Schedule for Ph.D. and M.S. ( R) students admitted in 2nd semester 2025-26 Information Brochure for 2nd Semester 2025-26. Frequently Asked Questions (FAQ) for PG Application Joint PhD: Univ. of Queensland & IIT Delhi Regarding Hostel Accommodation Allotment of a hostel seat is done only after generation of Entry Number (communicated through Welcome Kit). Students do not need to approach for this. For the eligible category, IIT Delhi takes care of hostel allotment (post Entry Number generation). Only after payment of applicable charges within the given time window, the hostel seat will be confirmed. Students can onboard in the hostels 1–2 days before registration/orientation. Applicable charges and other details can be seen here: https://bhm.iitd.ac.in/resources Eligibility: - UG/MSc/MA Students may be allotted a seat on priority (sharing basis only). - PG/Ph.D Students (Full Time only): There is a severe hostel crunch in the campus due to which it is NOT possible to provide hostel accommodation to postgraduate (PG) students (including PhD). However, the Institute strives to provide a hostel seat (on sharing basis only), if available, to admitted female students, students with special needs (SwD - Students with Disabilities, formally admitted as PwD) and foreign nationals. Hence, it is to be noted that the offer of admission at IIT Delhi does not guarantee on-campus accommodatio: rankings=Categories) for the Academic Year 2026 | cation commences on June 19 | cation is June 28 | mation Brochure for Ph.D. and PG Admissions for 1 | mation Brochure for 2",success,
Home Page : IIT Delhi,https://www.iitd.ac.in,courses,https://academics.iitd.ac.in/,,,,,,,,,,failed,All URL candidates failed for https://academics.iitd.ac.in/
Home Page : IIT Delhi,https://www.iitd.ac.in,placements,https://ocs.iitd.ac.in/ocs/,,,,,,,,,,failed,All URL candidates failed for https://ocs.iitd.ac.in/ocs/
Home Page : IIT Delhi,https://www.iitd.ac.in,contact,https://alumni.iitd.ac.in/contact-us/,,,,,,,,,,failed,All URL candidates failed for https://alumni.iitd.ac.in/contact-us/
Indian Institute of Technology Madras,https://www.iitm.ac.in,admissions,https://mst.iitm.ac.in/bs-in-medical-sciences-engineering/,,,,,,,,,,failed,All URL candidates failed for https://mst.iitm.ac.in/bs-in-medical-sciences-engineering/
Indian Institute of Technology Madras,https://www.iitm.ac.in,courses,https://www.iitm.ac.in/academics/study-at-iitm/international-interdisciplinary-masters-program-i2mp,"Skip to main content Home Academics Study @ IITM International Masters’ Program (I2MP) International Interdisciplinary Master’s Program A new master’s program for international students is created at IIT Madras in nine niche areas. These interdisciplinary master’s degrees will bring students with diverse interests to the IIT Madras campus, and provide them the benefit of the rich teaching and research environment at IITM. The two year master’s degree will closely mirror the highly successful",,,,,Ma | be | BTech | ba,,,,success,
